@type,name,amenity,addr:postcode,addr:suburb,@lat,@lon
node,Mani Restaurant,restaurant,10119,Mitte,52.5293472,13.3998002
node,Die Laube,restaurant,10369,,52.5371681,13.4662865
node,Caf� & Restaurant Bares,restaurant,10587,Charlottenburg,52.5213484,13.3228155
node,Schloss D�ner,fast_food,,,52.4633965,13.3266735
node,Donna Francesca,restaurant,13507,Tegel,52.5889692,13.2808143
node,Nordwind,restaurant,10711,Halensee,52.4970458,13.2853278
node,Supra,restaurant,10178,,52.5228343,13.4028901
node,Liberty Pizza,fast_food,14163,Zehlendorf,52.4357294,13.2578952
node,Tokyo Gohan,restaurant,10245,Friedrichshain,52.5105630,13.4609393
node,Domino's,fast_food,10245,Friedrichshain,52.5130877,13.4572371
node,Kaijin Ramen,restaurant,10245,Friedrichshain,52.5130353,13.4574067
node,Imren,fast_food,,,52.4820887,13.4338465
node,Bei Onkel,fast_food,,,52.4826392,13.4345759
node,Ke-Bap,fast_food,,,52.4827200,13.4342395
node,Don Giovanni,restaurant,10365,Lichtenberg,52.5143165,13.4933841
node,Pia Kebab,fast_food,,,52.4616758,13.3249265
node,China Food,restaurant,12163,,52.4580346,13.3221056
node,Viet & My II,restaurant,10557,Moabit,52.5226824,13.3490454
node,Monopol,fast_food,10557,Moabit,52.5238488,13.3495189
node,halb zw�lf,restaurant,10557,Moabit,52.5240167,13.3491130
node,Om,restaurant,10557,Moabit,52.5225720,13.3489915
node,Gasthaus Kronprinz,restaurant,14169,Zehlendorf,52.4384310,13.2618828
node,Saigon BBQ,restaurant,14169,Zehlendorf,52.4380827,13.2618908
node,H�hnchenhaus,fast_food,10969,Kreuzberg,52.4981873,13.4067395
node,Bamboo,restaurant,14165,Zehlendorf,52.4286279,13.2562395
node,doen doen Kebap,fast_food,10245,Friedrichshain,52.5098940,13.4558664
node,Adam,fast_food,10245,Friedrichshain,52.5099391,13.4555482
node,Kebab Club,restaurant,10245,Friedrichshain,52.5099874,13.4553328
node,K-BOK Korean Fried Chicken,restaurant,10435,Prenzlauer Berg,52.5404063,13.4147914
node,Spreeblick,restaurant,10178,,52.5161690,13.4058173
node,Zille-Destille,restaurant,10178,Mitte,52.5163539,13.4060676
node,Zum Paddenwirt,restaurant,10178,Mitte,52.5166790,13.4080964
node,Kaffeestube,restaurant,10178,Mitte,52.5163897,13.4076097
node,Zur Gerichtslaube,restaurant,,,52.5170641,13.4062410
node,Il Nuovo Cristallo,restaurant,14167,Zehlendorf,52.4289520,13.2594051
node,Goodtime,restaurant,,,52.4297765,13.2593298
node,Vietnam Today,fast_food,,,52.5128804,13.6120223
node,Thai Sushi,fast_food,12623,Mahlsdorf,52.5138325,13.6123485
